year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,2610,1310,1300,270,120,150
2006,2610,1310,1300,270,120,150
2007,2610,1310,1300,270,120,150
2008,2610,1310,1300,270,120,150
2009,2610,1310,1300,270,120,150
2010,2610,1310,1300,270,120,150
2011,2610,1310,1300,270,120,150
2012,2610,1310,1300,270,120,150
2013,2800,1490,1310,320,120,200
2014,2730,1440,1290,310,130,180
2015,2580,1360,1220,270,140,130
2016,2810,1510,1300,280,150,130
2017,3130,1800,1330,330,180,150
2018,3540,2130,1410,350,190,160
2019,3360,1860,1500,370,200,170
2020,3400,1890,1510,390,210,180
2021,3320,1750,1570,400,220,180
2022,3360,1790,1570,410,220,190
2023,3490,1900,1590,430,240,190
2024,3490,1900,1590,430,240,190
