year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,21700,12190,9510,10710,6020,4690
2006,21700,12190,9510,10710,6020,4690
2007,21700,12190,9510,10710,6020,4690
2008,21700,12190,9510,10710,6020,4690
2009,21700,12190,9510,10710,6020,4690
2010,21700,12190,9510,10710,6020,4690
2011,21700,12190,9510,10710,6020,4690
2012,21700,12190,9510,10710,6020,4690
2013,22350,12440,9910,10710,6070,4640
2014,24050,13500,10550,11090,6110,4980
2015,26850,14090,12760,11240,6240,5000
2016,30330,17900,12430,12650,6430,6220
2017,30280,17490,12790,12590,6660,5930
2018,30770,16400,14370,12770,6830,5940
2019,32110,18130,13980,12960,6990,5970
2020,32270,17530,14740,12830,7190,5640
2021,34920,19320,15600,12410,6840,5570
2022,34470,19100,15370,12640,7090,5550
2023,35730,19860,15870,12590,7000,5590
2024,35730,19860,15870,12590,7000,5590
