type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,588200,422020,166180,117350,83230,34120
Digestive system,3781850,2126550,1655300,1901650,1102150,799500
Respiratory system,2972630,1580580,1392050,1829450,1000390,829060
Bones & joints,40490,22780,17710,20110,11490,8620
Soft tissue,150310,84220,66090,59270,31830,27440
Skin,1145250,679350,465900,150990,102640,48350
Breast,3131690,30210,3101480,501030,5680,495350
Genital system,4011430,2745030,1266400,754040,374950,379090
Urinary system,1816170,1266920,549250,381100,261310,119790
Eye & orbit,37130,20230,16900,4130,2120,2010
Brain & other nervous system,285820,160930,124890,198650,113560,85090
Endocrine system,686480,181590,504890,36540,17480,19060
Lymphoma,1000680,551950,448730,250690,143330,107360
Myeloma,355830,197950,157880,145190,79470,65720
Leukemia,688640,399520,289120,286380,166500,119880
